محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,مدني,عسكري,جامعات رسميه,خاص
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,2411,1146,203,581
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,3298,1800,467,624
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,2006,1609,169,622
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الضياء,46,25,5,10
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الفاروق,1747,942,213,362
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي المحبه,546,241,84,386
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,ابن عوف,661,166,159,471
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,البلدية,1654,378,717,973
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الجامعة,2053,424,1415,1778
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الرشيد,4351,1071,879,3027
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الزيتونة,1612,538,538,1169
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الصديق,1555,443,409,982
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,حي جديد,151,190,17,26
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,خريبة مسلم,81,5,28,100
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,قطنة,3426,869,451,1752
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشرقي,3026,729,637,3343
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشمالي,3531,937,1287,3101
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الخالدين,1677,602,246,1604
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,السلام,2723,638,430,2887
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الصالحين,4695,1448,707,3548
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,المدينة الطبية,57,93,9,115
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,ام السماق,727,338,149,552
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,بركة,4844,1024,1023,4384
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,خلدا,1077,397,168,1033
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,دابوق,498,635,51,184
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ابو القرام,282,402,9,62
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,القصبات,335,125,748,172
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,المروج,774,479,82,242
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,الموحدين,119,117,6,19
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ام العروق,601,647,51,126
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ام بلانة,294,253,13,31
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ذهيبة,369,348,22,115
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,طاب كراع,1086,544,134,360
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,مرج الفرس,515,264,22,196
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ياجوز,465,292,74,178
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,البشائر,707,219,84,292
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الحمر,71,23,15,101
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الحي الشرقي,4611,1366,743,1486
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الرحمانية,1728,653,223,900
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الفروسية,169,49,52,85
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الفضيلة,3429,886,783,1837
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الكمالية,4530,1807,625,1199
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,ميسلون,2019,867,253,551
العاصمة,لواء الجيزة,قضاء الجيزة,ارينبة الشرقية,ارينبة الشرقية,ارينبة الشرقية,203,131,5,10
العاصمة,لواء الجيزة,قضاء الجيزة,ارينبه الغربية,ارينبه الغربية,ارينبه الغربية,401,436,5,43
العاصمة,لواء الجيزة,قضاء الجيزة,الباسلية,الباسلية,الباسلية,148,141,2,0
العاصمة,لواء الجيزة,قضاء الجيزة,الثمد,الثمد,الثمد,26,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الجيزة,الجيزة,الجيزة,1004,436,12,196
العاصمة,لواء الجيزة,قضاء الجيزة,الخالدية,الخالدية,الخالدية,65,29,2,0
العاصمة,لواء الجيزة,قضاء الجيزة,الخريم,الخريم,الخريم,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الخضراء,الخضراء,الخضراء,89,131,5,4
العاصمة,لواء الجيزة,قضاء الجيزة,الخنان (الندوه),الخنان (الندوه),الخنان (الندوه),48,41,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الدليله(دليلة المطيرات),الدليله(دليلة المطيرات),الدليله(دليلة المطيرات),178,180,25,15
العاصمة,لواء الجيزة,قضاء الجيزة,الذره,الذره,الذره,2,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الزعفران,الزعفران,الزعفران,236,153,18,3
العاصمة,لواء الجيزة,قضاء الجيزة,الزميله,الزميله,الزميله,505,515,23,57
العاصمة,لواء الجيزة,قضاء الجيزة,الزيتونة,الزيتونة,الزيتونة,162,181,5,22
العاصمة,لواء الجيزة,قضاء الجيزة,السيفية(زباير كنيعان),السيفية(زباير كنيعان),السيفية(زباير كنيعان),8,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الشهباء(زباير الوتيري),الشهباء(زباير الوتيري),الشهباء(زباير الوتيري),21,37,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),127,25,1,3
العاصمة,لواء الجيزة,قضاء الجيزة,الطنيب,الطنيب,الطنيب,49,4,6,16
العاصمة,لواء الجيزة,قضاء الجيزة,الغبية,الغبية,الغبية,17,4,1,1
العاصمة,لواء الجيزة,قضاء الجيزة,القسطل,القسطل,القسطل,616,190,35,233
العاصمة,لواء الجيزة,قضاء الجيزة,القناطر,القناطر,القناطر,42,86,0,2
العاصمة,لواء الجيزة,قضاء الجيزة,القنيطره,القنيطره,القنيطره,102,89,19,5
العاصمة,لواء الجيزة,قضاء الجيزة,اللبن,اللبن,اللبن,697,165,19,109
العاصمة,لواء الجيزة,قضاء الجيزة,المشتى,المشتى,المشتى,33,27,0,2
العاصمة,لواء الجيزة,قضاء الجيزة,المناره,المناره,المناره,81,104,0,9
العاصمة,لواء الجيزة,قضاء الجيزة,الناصرية,الناصرية,الناصرية,144,165,9,2
العاصمة,لواء الجيزة,قضاء الجيزة,ام العمد,ام العمد,ام العمد,242,19,7,30
