GOV_CODE,المحافظة,LUAA_CODE,اللواء,DISTRICT_CODE,القضاء,COLLECTION_CODE,التجمع السكاني,AREA_CODE,المنطقة,QUERTER_CODE,الحي,أعزب أو عزباء,متزوج او متزوجة,مطلق أو مطلقة ,ارمل او ارملة,منفصل او منفصلة
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,"7,628","8,512",402,634,58
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,"24,947","32,869",903,"2,624",122
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,"11,504","15,178",521,"1,209",101
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,"6,851","8,714",258,597,19
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,"14,009","17,224",492,"1,043",40
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,"9,258","12,293",221,530,21
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120603,الروضة,"17,692","23,370",477,"1,002",44
11,العاصمة,1101,قصبة عمان,11011,عمان,11011113,المدينه,1101111301,المدينة,110111130101,القلعة,"1,452","1,827",28,116,1
11,العاصمة,1101,قصبة عمان,11011,عمان,11011113,المدينه,1101111301,المدينة,110111130102,وادي الحدادة,"3,530","4,473",135,229,16
11,العاصمة,1101,قصبة عمان,11011,عمان,11011113,المدينه,1101111301,المدينة,110111130103,جبل الجوفة,"1,697","1,907",47,97,9
11,العاصمة,1101,قصبة عمان,11011,عمان,11011113,المدينه,1101111301,المدينة,110111130104,المدرج,976,750,13,42,3
11,العاصمة,1101,قصبة عمان,11011,عمان,11011113,المدينه,1101111301,المدينة,110111130105,وادي السرور,842,878,16,41,9
11,العاصمة,1101,قصبة عمان,11011,عمان,11011113,المدينه,1101111301,المدينة,110111130106,المهاجرين,"1,362","1,222",57,80,9
11,العاصمة,1101,قصبة عمان,11011,عمان,11011113,المدينه,1101111301,المدينة,110111130107,الرجوم,769,910,64,37,2
11,العاصمة,1101,قصبة عمان,11011,عمان,11011113,المدينه,1101111301,المدينة,110111130108,العدلية,758,"1,359",43,76,5
11,العاصمة,1101,قصبة عمان,11011,عمان,11011114,زهران,1101111408,زهران,110111140801,جبل عمان,"10,866","11,515",427,917,56
11,العاصمة,1101,قصبة عمان,11011,عمان,11011114,زهران,1101111408,زهران,110111140802,عبدون الشمالي,"9,402","14,004",453,852,58
11,العاصمة,1101,قصبة عمان,11011,عمان,11011114,زهران,1101111408,زهران,110111140803,الرضوان,"4,835","7,849",267,649,52
11,العاصمة,1101,قصبة عمان,11011,عمان,11011114,زهران,1101111408,زهران,110111140804,ام اذينة الشرقي,"3,678","5,371",161,448,35
11,العاصمة,1101,قصبة عمان,11011,عمان,11011114,زهران,1101111408,زهران,110111140805,عبدون الجنوبي,"5,479","6,870",214,313,32
11,العاصمة,1101,قصبة عمان,11011,عمان,11011115,اليرموك,1101111505,اليرموك,110111150501,الاشرفية,"16,555","20,674",579,"1,398",94
11,العاصمة,1101,قصبة عمان,11011,عمان,11011115,اليرموك,1101111505,اليرموك,110111150502,العودة,"19,055","24,852",734,"1,670",114
11,العاصمة,1101,قصبة عمان,11011,عمان,11011115,اليرموك,1101111505,اليرموك,110111150503,جبل التاج,"17,901","21,806",542,"1,512",77
11,العاصمة,1101,قصبة عمان,11011,عمان,11011116,بدر,1101111607,بدر,110111160701,الذراع,"16,359","21,546",412,"1,220",42
11,العاصمة,1101,قصبة عمان,11011,عمان,11011116,بدر,1101111607,بدر,110111160702,الاخضر,"21,949","31,530",622,"1,878",78
11,العاصمة,1101,قصبة عمان,11011,عمان,11011116,بدر,1101111607,بدر,110111160703,الحمرانية,"3,049","3,642",74,165,14
11,العاصمة,1101,قصبة عمان,11011,عمان,11011116,بدر,1101111607,بدر,110111160704,الهلال,"12,527","17,482",386,847,31
11,العاصمة,1101,قصبة عمان,11011,عمان,11011116,بدر,1101111607,بدر,110111160705,الياسمين,"9,954","14,743",276,593,18
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131001,طبربور,"18,322","22,505",566,"1,134",35
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131002,الخزنة,"6,684","8,735",177,415,11
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131003,الشهيد الشمالي,"13,170","17,356",310,896,51
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131004,ابو عليا,"5,372","7,449",127,338,14
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131005,الفيصل,"1,254","1,704",28,66,0
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131006,عين رباط,392,503,4,8,1
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131007,عين غزال,"1,443","2,145",37,74,5
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131008,الشهيد الجنوبي,"2,492","3,533",51,194,2
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131009,الغابة,"2,719","3,886",63,126,9
11,العاصمة,1102,ماركا,11021,ماركا,11021013,طارق,1102101310,طارق,110210131010,الامير الحسين بن عبدالله,287,376,11,17,2
11,العاصمة,1102,ماركا,11021,ماركا,11021111,ماركا,1102111103,ماركا,110211110301,المطار,"5,170","6,850",151,438,41
11,العاصمة,1102,ماركا,11021,ماركا,11021111,ماركا,1102111103,ماركا,110211110302,حمزة,"20,362","27,295",737,"1,711",69
11,العاصمة,1102,ماركا,11021,ماركا,11021111,ماركا,1102111103,ماركا,110211110303,الزهراء,"12,213","16,264",462,"1,108",74
11,العاصمة,1102,ماركا,11021,ماركا,11021111,ماركا,1102111103,ماركا,110211110304,المشيرفة,553,960,15,47,4
11,العاصمة,1102,ماركا,11021,ماركا,11021111,ماركا,1102111103,ماركا,110211110305,حي جديد,"4,003","5,828",124,222,3
11,العاصمة,1102,ماركا,11021,ماركا,11021112,النصر,1102111204,النصر,110211120401,الاميرالحسن,"15,271","21,580",517,"1,293",65
11,العاصمة,1102,ماركا,11021,ماركا,11021112,النصر,1102111204,النصر,110211120402,جبل النصر,"7,871","10,328",291,724,37
11,العاصمة,1102,ماركا,11021,ماركا,11021112,النصر,1102111204,النصر,110211120403,المنارة,"12,380","18,692",344,995,49
11,العاصمة,1102,ماركا,11021,ماركا,11021112,النصر,1102111204,النصر,110211120404,الربوة,"12,970","19,818",428,856,36
11,العاصمة,1102,ماركا,11021,ماركا,11021112,النصر,1102111204,النصر,110211120405,الاميرة عالية,"11,711","18,168",279,768,30
11,العاصمة,1102,ماركا,11021,ماركا,11021112,النصر,1102111204,النصر,110211120406,الصالحية,"3,128","4,411",103,294,9
11,العاصمة,1102,ماركا,11021,ماركا,11021112,النصر,1102111204,النصر,110211120407,المغيرات,"2,730","3,886",45,184,9
11,العاصمة,1102,ماركا,11021,ماركا,11021112,النصر,1102111204,النصر,110211120408,وادي القطار,"1,460","2,188",22,52,3
11,العاصمة,1102,ماركا,11021,ماركا,11021114,بسمان,1102111402,بسمان,110211140201,القصور,"10,447","13,725",295,797,24
11,العاصمة,1102,ماركا,11021,ماركا,11021114,بسمان,1102111402,بسمان,110211140202,جبل النزهة,"17,830","24,544",620,"1,590",79
11,العاصمة,1102,ماركا,11021,ماركا,11021114,بسمان,1102111402,بسمان,110211140203,الهاشمي الشمالي,"29,708","40,293",993,"2,689",102
11,العاصمة,1102,ماركا,11021,ماركا,11021114,بسمان,1102111402,بسمان,110211140204,الجرن,"23,744","28,935",703,"1,797",62
11,العاصمة,1102,ماركا,11021,ماركا,11021114,بسمان,1102111402,بسمان,110211140205,الرواق,"8,139","10,328",315,580,27
11,العاصمة,1102,ماركا,11021,ماركا,11021114,بسمان,1102111402,بسمان,110211140206,رغدان,"15,619","21,311",433,"1,187",85
11,العاصمة,1102,ماركا,11021,ماركا,11021114,بسمان,1102111402,بسمان,110211140207,الهاشمي الجنوبي,"3,470","4,627",132,374,19
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111101,القويسمة,"7,839","11,027",244,526,38
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111102,ابو علندا,"8,407","10,865",175,451,44
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111103,النهارية,"14,664","21,432",355,"1,010",44
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111104,المعادي,"6,288","10,798",186,517,15
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111105,الجويدة,"4,605","6,087",137,257,9
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111106,حطين,"3,557","4,906",108,270,7
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111107,الرجيب,"3,084","4,602",92,116,7
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111108,العروبة,"3,919","5,959",59,178,8
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111109,ابو صوانة,"3,448","5,840",54,261,8
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111110,المغبة الشرقي,880,"1,287",4,44,0
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111111,ام نوارة,"10,835","17,244",342,684,44
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111112,ام الحيران,"5,549","8,095",190,363,33
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111113,المغبة الغربي,95,89,0,0,0
11,العاصمة,1103,القويسمة,11031,القويسمة,11031011,القويسمة والجويدة وابو علندا والرجيب,1103101111,القويسمة وابو علندا,110310111114,حي جديد,"4,677","7,700",90,162,11
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121201,اليادودة,"5,326","7,401",105,423,8
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121202,الطيبة وخريبة السوق,"19,163","27,652",435,"1,275",40
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121203,الايمان,"2,899","4,065",56,98,7
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121204,غمدان,"1,441","2,366",29,111,1
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121205,الابرار,123,287,7,0,0
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121206,الفرقان,712,987,14,30,0
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121207,الاندلس,"4,787","7,056",120,282,7
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121208,التقوى,"1,035","1,386",17,45,2
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121209,الاحسان,"1,114","1,478",5,45,3
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121210,جاوا الشمالي,"4,450","6,906",155,248,18
11,العاصمة,1103,القويسمة,11031,القويسمة,11031012,خريبة السوق وجاوا واليادودة,1103101212,خريبة السوق وجاوة,110310121211,جاوا الجنوبي,"4,746","6,502",124,311,18
