محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,ذكر,انثى, المجموع
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,2753,2694,5447
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,4110,3845,7955
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,2563,2506,5069
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الضياء,110410142007,56,52,108
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الفاروق,110410142006,2320,2229,4549
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي المحبه,110410142005,794,758,1552
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,ابن عوف,110410111802,1213,1232,2445
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,البلدية,110410111803,3577,3270,6847
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الجامعة,110410111807,4641,4796,9437
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الرشيد,110410111805,9275,9388,18663
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الزيتونة,110410111801,3264,3127,6391
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الصديق,110410111806,3229,3320,6549
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,حي جديد,110410111809,269,266,535
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,خريبة مسلم,110410111808,206,248,454
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,قطنة,110410111804,6495,6384,12879
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشرقي,110410131705,8206,8579,16785
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشمالي,110410131706,9136,8685,17821
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الخالدين,110410131703,3710,3756,7466
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,السلام,110410131701,6621,7292,13913
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الصالحين,110410131704,10316,10068,20384
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,المدينة الطبية,110410131708,273,300,573
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,ام السماق,110410131702,1728,1713,3441
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,بركة,110410131707,12785,13158,25943
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,خلدا,110410131710,2477,2545,5022
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,دابوق,110410131709,917,932,1849
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ابو القرام,110410151902,475,504,979
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,القصبات,110410151910,803,772,1575
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,المروج,110410151904,1096,1040,2136
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,الموحدين,110410151909,153,139,292
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ام العروق,110410151911,912,913,1825
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ام بلانة,110410151907,385,348,733
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ذهيبة,110410151901,629,575,1204
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,طاب كراع,110410151908,1745,1635,3380
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,مرج الفرس,110410151906,815,771,1586
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ياجوز,110410151905,822,801,1623
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,البشائر,110410121604,1572,1380,2952
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الحمر,110410121608,174,197,371
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الحي الشرقي,110410121603,8997,7338,16335
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الرحمانية,110410121602,3368,3337,6705
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الفروسية,110410121609,324,315,639
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الفضيلة,110410121607,6851,6086,12937
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الكمالية,110410121605,8314,7297,15611
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,ميسلون,110410121601,3284,3115,6399
العاصمة,لواء الجيزة,قضاء الجيزة,ارينبة الشرقية,ارينبة الشرقية,ارينبة الشرقية,110710250101,396,369,765
العاصمة,لواء الجيزة,قضاء الجيزة,ارينبه الغربية,ارينبه الغربية,ارينبه الغربية,110710190101,621,544,1165
العاصمة,لواء الجيزة,قضاء الجيزة,الباسلية,الباسلية,الباسلية,110710430101,245,228,473
العاصمة,لواء الجيزة,قضاء الجيزة,الثمد,الثمد,الثمد,110710440101,46,35,81
العاصمة,لواء الجيزة,قضاء الجيزة,الجيزة,الجيزة,الجيزة,110710110101,2133,1580,3713
العاصمة,لواء الجيزة,قضاء الجيزة,الخالدية,الخالدية,الخالدية,110710380101,60,61,121
العاصمة,لواء الجيزة,قضاء الجيزة,الخريم,الخريم,الخريم,110710390101,25,0,25
العاصمة,لواء الجيزة,قضاء الجيزة,الخضراء,الخضراء,الخضراء,110710230101,201,195,396
العاصمة,لواء الجيزة,قضاء الجيزة,الخنان (الندوه),الخنان (الندوه),الخنان (الندوه),110710490101,52,61,113
العاصمة,لواء الجيزة,قضاء الجيزة,الدليله(دليلة المطيرات),الدليله(دليلة المطيرات),الدليله(دليلة المطيرات),110710320101,255,277,532
العاصمة,لواء الجيزة,قضاء الجيزة,الذره,الذره,الذره,110710500101,8,1,9
العاصمة,لواء الجيزة,قضاء الجيزة,الزعفران,الزعفران,الزعفران,110710260101,350,334,684
العاصمة,لواء الجيزة,قضاء الجيزة,الزميله,الزميله,الزميله,110710360101,849,786,1635
العاصمة,لواء الجيزة,قضاء الجيزة,الزيتونة,الزيتونة,الزيتونة,110710240101,216,207,423
العاصمة,لواء الجيزة,قضاء الجيزة,السيفية(زباير كنيعان),السيفية(زباير كنيعان),السيفية(زباير كنيعان),110710420101,61,49,110
العاصمة,لواء الجيزة,قضاء الجيزة,الشهباء(زباير الوتيري),الشهباء(زباير الوتيري),الشهباء(زباير الوتيري),110710370101,58,47,105
العاصمة,لواء الجيزة,قضاء الجيزة,الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),110710450101,339,210,549
العاصمة,لواء الجيزة,قضاء الجيزة,الطنيب,الطنيب,الطنيب,110710210101,100,62,162
العاصمة,لواء الجيزة,قضاء الجيزة,الغبية,الغبية,الغبية,110710410101,18,18,36
العاصمة,لواء الجيزة,قضاء الجيزة,القسطل,القسطل,القسطل,110710150101,1432,1232,2664
العاصمة,لواء الجيزة,قضاء الجيزة,القناطر,القناطر,القناطر,110710510101,64,76,140
العاصمة,لواء الجيزة,قضاء الجيزة,القنيطره,القنيطره,القنيطره,110710340101,268,245,513
العاصمة,لواء الجيزة,قضاء الجيزة,اللبن,اللبن,اللبن,110710140101,1431,1253,2684
العاصمة,لواء الجيزة,قضاء الجيزة,المشتى,المشتى,المشتى,110710400101,194,78,272
العاصمة,لواء الجيزة,قضاء الجيزة,المناره,المناره,المناره,110710220101,123,130,253
العاصمة,لواء الجيزة,قضاء الجيزة,الناصرية,الناصرية,الناصرية,110710350101,192,177,369
العاصمة,لواء الجيزة,قضاء الجيزة,ام العمد,ام العمد,ام العمد,110710120101,609,420,1029
العاصمة,لواء الجيزة,قضاء الجيزة,ام الوليد,ام الوليد,ام الوليد,110710170101,721,695,1416
العاصمة,لواء الجيزة,قضاء الجيزة,ام رمانه,ام رمانه,ام رمانه,110710330101,369,439,808
العاصمة,لواء الجيزة,قضاء الجيزة,ام قصير ,ام قصير ,ام قصير ,110710290101,1000,978,1978
العاصمة,لواء الجيزة,قضاء الجيزة,جلول,جلول,جلول,110710200101,347,237,584
العاصمة,لواء الجيزة,قضاء الجيزة,حمام الشموط,حمام الشموط,حمام الشموط,110710530101,456,466,922
العاصمة,لواء الجيزة,قضاء الجيزة,حمام الطلاق,حمام الطلاق,حمام الطلاق,110710520101,257,180,437
العاصمة,لواء الجيزة,قضاء الجيزة,حواره,حواره,حواره,110710180101,204,192,396
العاصمة,لواء الجيزة,قضاء الجيزة,خان الزبيب,خان الزبيب,خان الزبيب,110710480101,126,108,234
العاصمة,لواء الجيزة,قضاء الجيزة,زويزيا,زويزيا,زويزيا,110710280101,115,82,197
العاصمة,لواء الجيزة,قضاء الجيزة,زينب,زينب,زينب,110710310101,173,163,336
العاصمة,لواء الجيزة,قضاء الجيزة,صوفه,صوفه,صوفه,110710270101,167,92,259
العاصمة,لواء الجيزة,قضاء الجيزة,ضبعه,ضبعه,ضبعه,110710300101,269,263,532
العاصمة,لواء الجيزة,قضاء الجيزة,مخيم الطالبية,مخيم الطالبية,مخيم الطالبية,110710460101,3301,3050,6351
العاصمة,لواء الجيزة,قضاء الجيزة,مشيرفة الجيزه,مشيرفة الجيزه,مشيرفة الجيزه,110710470101,213,262,475
العاصمة,لواء الجيزة,قضاء الجيزة,منجا,منجا,منجا,110710160101,339,318,657
العاصمة,لواء الجيزة,قضاء الجيزة,نتل,نتل,نتل,110710130101,373,381,754
العاصمة,لواء الجيزة,قضاء ام الرصاص,ابو حليليفة,ابو حليليفة,ابو حليليفة,110720250101,172,163,335
العاصمة,لواء الجيزة,قضاء ام الرصاص,البحيرات(منشية السواريه),البحيرات(منشية السواريه),البحيرات(منشية السواريه),110720270101,21,18,39
العاصمة,لواء الجيزة,قضاء ام الرصاص,الثريا,الثريا,الثريا,110720220101,18,22,40
العاصمة,لواء الجيزة,قضاء ام الرصاص,الدامخي,الدامخي,الدامخي,110720170101,411,405,816
العاصمة,لواء الجيزة,قضاء ام الرصاص,الرامة,الرامة,الرامة,110720120101,557,548,1105
العاصمة,لواء الجيزة,قضاء ام الرصاص,الرميل,الرميل,الرميل,110720130101,168,197,365
العاصمة,لواء الجيزة,قضاء ام الرصاص,المشيرفة,المشيرفة,المشيرفة,110720230101,368,353,721
العاصمة,لواء الجيزة,قضاء ام الرصاص,المصيطبة,المصيطبة,المصيطبة,110720260101,276,290,566
العاصمة,لواء الجيزة,قضاء ام الرصاص,الياهون,الياهون,الياهون,110720180101,114,109,223
العاصمة,لواء الجيزة,قضاء ام الرصاص,ام الرصاص,ام الرصاص,ام الرصاص,110720110101,170,186,356
العاصمة,لواء الجيزة,قضاء ام الرصاص,جميل,جميل,جميل,110720210101,234,237,471
العاصمة,لواء الجيزة,قضاء ام الرصاص,رجم عقاب,رجم عقاب,رجم عقاب,110720200101,59,68,127
العاصمة,لواء الجيزة,قضاء ام الرصاص,رجم فهيد,رجم فهيد,رجم فهيد,110720240101,91,72,163
العاصمة,لواء الجيزة,قضاء ام الرصاص,سالية,سالية,سالية,110720150101,254,247,501
العاصمة,لواء الجيزة,قضاء ام الرصاص,سواقة,سواقة,سواقة,110720160101,210,17,227
العاصمة,لواء الجيزة,قضاء ام الرصاص,طور الحشاش,طور الحشاش,طور الحشاش,110720140101,189,204,393
العاصمة,لواء الجيزة,قضاء ام الرصاص,عليان,عليان,عليان,110720190101,120,126,246
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو صوانة,110310111109,2388,2283,4671
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو علندا,110310111102,6728,6056,12784
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الجويدة,110310111105,4035,3545,7580
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الرجيب,110310111107,2318,1875,4193
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,العروبة,110310111108,1751,1639,3390
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,القويسمة,110310111101,8123,7585,15708
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المعادي,110310111104,6382,5869,12251
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الشرقي,110310111110,2363,1979,4342
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الغربي,110310111113,289,126,415
