محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,ذكر,انثى, المجموع
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,1.1041E+11,2753,2694,5447
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,1.1041E+11,4110,3845,7955
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,1.1041E+11,2563,2506,5069
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الضياء,1.1041E+11,56,52,108
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الفاروق,1.1041E+11,2320,2229,4549
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي المحبه,1.1041E+11,794,758,1552
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,ابن عوف,1.1041E+11,1213,1232,2445
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,البلدية,1.1041E+11,3577,3270,6847
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الجامعة,1.1041E+11,4641,4796,9437
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الرشيد,1.1041E+11,9275,9388,18663
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الزيتونة,1.1041E+11,3264,3127,6391
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الصديق,1.1041E+11,3229,3320,6549
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,حي جديد,1.1041E+11,269,266,535
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,خريبة مسلم,1.1041E+11,206,248,454
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,قطنة,1.1041E+11,6495,6384,12879
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشرقي,1.1041E+11,8206,8579,16785
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشمالي,1.1041E+11,9136,8685,17821
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الخالدين,1.1041E+11,3710,3756,7466
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,السلام,1.1041E+11,6621,7292,13913
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الصالحين,1.1041E+11,10316,10068,20384
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,المدينة الطبية,1.1041E+11,273,300,573
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,ام السماق,1.1041E+11,1728,1713,3441
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,بركة,1.1041E+11,12785,13158,25943
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,خلدا,1.1041E+11,2477,2545,5022
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,دابوق,1.1041E+11,917,932,1849
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ابو القرام,1.1041E+11,475,504,979
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,القصبات,1.1041E+11,803,772,1575
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,المروج,1.1041E+11,1096,1040,2136
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,الموحدين,1.1041E+11,153,139,292
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ام العروق,1.1041E+11,912,913,1825
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ام بلانة,1.1041E+11,385,348,733
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ذهيبة,1.1041E+11,629,575,1204
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,طاب كراع,1.1041E+11,1745,1635,3380
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,مرج الفرس,1.1041E+11,815,771,1586
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ياجوز,1.1041E+11,822,801,1623
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,البشائر,1.1041E+11,1572,1380,2952
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الحمر,1.1041E+11,174,197,371
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الحي الشرقي,1.1041E+11,8997,7338,16335
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الرحمانية,1.1041E+11,3368,3337,6705
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الفروسية,1.1041E+11,324,315,639
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الفضيلة,1.1041E+11,6851,6086,12937
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الكمالية,1.1041E+11,8314,7297,15611
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,ميسلون,1.1041E+11,3284,3115,6399
العاصمة,لواء الجيزة,قضاء الجيزة,ارينبة الشرقية,ارينبة الشرقية,ارينبة الشرقية,1.1071E+11,396,369,765
العاصمة,لواء الجيزة,قضاء الجيزة,ارينبه الغربية,ارينبه الغربية,ارينبه الغربية,1.1071E+11,621,544,1165
العاصمة,لواء الجيزة,قضاء الجيزة,الباسلية,الباسلية,الباسلية,1.1071E+11,245,228,473
العاصمة,لواء الجيزة,قضاء الجيزة,الثمد,الثمد,الثمد,1.1071E+11,46,35,81
العاصمة,لواء الجيزة,قضاء الجيزة,الجيزة,الجيزة,الجيزة,1.1071E+11,2133,1580,3713
العاصمة,لواء الجيزة,قضاء الجيزة,الخالدية,الخالدية,الخالدية,1.1071E+11,60,61,121
العاصمة,لواء الجيزة,قضاء الجيزة,الخريم,الخريم,الخريم,1.1071E+11,25,0,25
العاصمة,لواء الجيزة,قضاء الجيزة,الخضراء,الخضراء,الخضراء,1.1071E+11,201,195,396
العاصمة,لواء الجيزة,قضاء الجيزة,الخنان (الندوه),الخنان (الندوه),الخنان (الندوه),1.1071E+11,52,61,113
العاصمة,لواء الجيزة,قضاء الجيزة,الدليله(دليلة المطيرات),الدليله(دليلة المطيرات),الدليله(دليلة المطيرات),1.1071E+11,255,277,532
العاصمة,لواء الجيزة,قضاء الجيزة,الذره,الذره,الذره,1.10711E+11,8,1,9
العاصمة,لواء الجيزة,قضاء الجيزة,الزعفران,الزعفران,الزعفران,1.1071E+11,350,334,684
العاصمة,لواء الجيزة,قضاء الجيزة,الزميله,الزميله,الزميله,1.1071E+11,849,786,1635
العاصمة,لواء الجيزة,قضاء الجيزة,الزيتونة,الزيتونة,الزيتونة,1.1071E+11,216,207,423
العاصمة,لواء الجيزة,قضاء الجيزة,السيفية(زباير كنيعان),السيفية(زباير كنيعان),السيفية(زباير كنيعان),1.1071E+11,61,49,110
العاصمة,لواء الجيزة,قضاء الجيزة,الشهباء(زباير الوتيري),الشهباء(زباير الوتيري),الشهباء(زباير الوتيري),1.1071E+11,58,47,105
العاصمة,لواء الجيزة,قضاء الجيزة,الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),1.1071E+11,339,210,549
العاصمة,لواء الجيزة,قضاء الجيزة,الطنيب,الطنيب,الطنيب,1.1071E+11,100,62,162
العاصمة,لواء الجيزة,قضاء الجيزة,الغبية,الغبية,الغبية,1.1071E+11,18,18,36
العاصمة,لواء الجيزة,قضاء الجيزة,القسطل,القسطل,القسطل,1.1071E+11,1432,1232,2664
العاصمة,لواء الجيزة,قضاء الجيزة,القناطر,القناطر,القناطر,1.10711E+11,64,76,140
العاصمة,لواء الجيزة,قضاء الجيزة,القنيطره,القنيطره,القنيطره,1.1071E+11,268,245,513
العاصمة,لواء الجيزة,قضاء الجيزة,اللبن,اللبن,اللبن,1.1071E+11,1431,1253,2684
العاصمة,لواء الجيزة,قضاء الجيزة,المشتى,المشتى,المشتى,1.1071E+11,194,78,272
العاصمة,لواء الجيزة,قضاء الجيزة,المناره,المناره,المناره,1.1071E+11,123,130,253
العاصمة,لواء الجيزة,قضاء الجيزة,الناصرية,الناصرية,الناصرية,1.1071E+11,192,177,369
العاصمة,لواء الجيزة,قضاء الجيزة,ام العمد,ام العمد,ام العمد,1.1071E+11,609,420,1029
العاصمة,لواء الجيزة,قضاء الجيزة,ام الوليد,ام الوليد,ام الوليد,1.1071E+11,721,695,1416
العاصمة,لواء الجيزة,قضاء الجيزة,ام رمانه,ام رمانه,ام رمانه,1.1071E+11,369,439,808
العاصمة,لواء الجيزة,قضاء الجيزة,ام قصير ,ام قصير ,ام قصير ,1.1071E+11,1000,978,1978
العاصمة,لواء الجيزة,قضاء الجيزة,جلول,جلول,جلول,1.1071E+11,347,237,584
العاصمة,لواء الجيزة,قضاء الجيزة,حمام الشموط,حمام الشموط,حمام الشموط,1.10711E+11,456,466,922
العاصمة,لواء الجيزة,قضاء الجيزة,حمام الطلاق,حمام الطلاق,حمام الطلاق,1.10711E+11,257,180,437
العاصمة,لواء الجيزة,قضاء الجيزة,حواره,حواره,حواره,1.1071E+11,204,192,396
العاصمة,لواء الجيزة,قضاء الجيزة,خان الزبيب,خان الزبيب,خان الزبيب,1.1071E+11,126,108,234
العاصمة,لواء الجيزة,قضاء الجيزة,زويزيا,زويزيا,زويزيا,1.1071E+11,115,82,197
العاصمة,لواء الجيزة,قضاء الجيزة,زينب,زينب,زينب,1.1071E+11,173,163,336
العاصمة,لواء الجيزة,قضاء الجيزة,صوفه,صوفه,صوفه,1.1071E+11,167,92,259
العاصمة,لواء الجيزة,قضاء الجيزة,ضبعه,ضبعه,ضبعه,1.1071E+11,269,263,532
العاصمة,لواء الجيزة,قضاء الجيزة,مخيم الطالبية,مخيم الطالبية,مخيم الطالبية,1.1071E+11,3301,3050,6351
العاصمة,لواء الجيزة,قضاء الجيزة,مشيرفة الجيزه,مشيرفة الجيزه,مشيرفة الجيزه,1.1071E+11,213,262,475
العاصمة,لواء الجيزة,قضاء الجيزة,منجا,منجا,منجا,1.1071E+11,339,318,657
العاصمة,لواء الجيزة,قضاء الجيزة,نتل,نتل,نتل,1.1071E+11,373,381,754
العاصمة,لواء الجيزة,قضاء ام الرصاص,ابو حليليفة,ابو حليليفة,ابو حليليفة,1.1072E+11,172,163,335
العاصمة,لواء الجيزة,قضاء ام الرصاص,البحيرات(منشية السواريه),البحيرات(منشية السواريه),البحيرات(منشية السواريه),1.1072E+11,21,18,39
العاصمة,لواء الجيزة,قضاء ام الرصاص,الثريا,الثريا,الثريا,1.1072E+11,18,22,40
العاصمة,لواء الجيزة,قضاء ام الرصاص,الدامخي,الدامخي,الدامخي,1.1072E+11,411,405,816
العاصمة,لواء الجيزة,قضاء ام الرصاص,الرامة,الرامة,الرامة,1.1072E+11,557,548,1105
العاصمة,لواء الجيزة,قضاء ام الرصاص,الرميل,الرميل,الرميل,1.1072E+11,168,197,365
العاصمة,لواء الجيزة,قضاء ام الرصاص,المشيرفة,المشيرفة,المشيرفة,1.1072E+11,368,353,721
العاصمة,لواء الجيزة,قضاء ام الرصاص,المصيطبة,المصيطبة,المصيطبة,1.1072E+11,276,290,566
العاصمة,لواء الجيزة,قضاء ام الرصاص,الياهون,الياهون,الياهون,1.1072E+11,114,109,223
العاصمة,لواء الجيزة,قضاء ام الرصاص,ام الرصاص,ام الرصاص,ام الرصاص,1.1072E+11,170,186,356
العاصمة,لواء الجيزة,قضاء ام الرصاص,جميل,جميل,جميل,1.1072E+11,234,237,471
العاصمة,لواء الجيزة,قضاء ام الرصاص,رجم عقاب,رجم عقاب,رجم عقاب,1.1072E+11,59,68,127
العاصمة,لواء الجيزة,قضاء ام الرصاص,رجم فهيد,رجم فهيد,رجم فهيد,1.1072E+11,91,72,163
العاصمة,لواء الجيزة,قضاء ام الرصاص,سالية,سالية,سالية,1.1072E+11,254,247,501
العاصمة,لواء الجيزة,قضاء ام الرصاص,سواقة,سواقة,سواقة,1.1072E+11,210,17,227
العاصمة,لواء الجيزة,قضاء ام الرصاص,طور الحشاش,طور الحشاش,طور الحشاش,1.1072E+11,189,204,393
العاصمة,لواء الجيزة,قضاء ام الرصاص,عليان,عليان,عليان,1.1072E+11,120,126,246
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو صوانة,1.1031E+11,2388,2283,4671
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو علندا,1.1031E+11,6728,6056,12784
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الجويدة,1.1031E+11,4035,3545,7580
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الرجيب,1.1031E+11,2318,1875,4193
