محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي, الاعاقة السمعيه و/او النطقيه , الاعاقه الجسديه و /او الحركيه,الاعاقه شلل دماغي,الاعاقه العقليه,الاعاقه البصريه, الاعاقات  المتعدده, الاعاقات  الاخرى, الاعاقات  الغير مبينه
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,الشميساني,15,27,12,23,4,22,6,0
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,المدينة الرياضية,16,21,5,20,0,5,6,0
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,جبل الحسين,81,154,60,96,40,89,35,2
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,جبل اللويبدة,14,32,10,15,6,19,3,0
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,الرجوم,2,4,1,0,2,2,2,0
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,العدلية,5,5,3,1,2,1,1,0
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,القلعة,5,14,1,10,4,4,1,1
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,المدرج,3,4,2,1,0,1,2,0
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,المهاجرين,12,22,4,2,6,5,7,0
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,جبل الجوفة,22,18,6,16,7,8,2,0
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,وادي الحدادة,22,35,12,20,11,19,13,0
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,وادي السرور,2,4,1,3,4,0,2,0
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,الاشرفية,105,195,63,94,72,83,66,1
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,العودة,133,209,79,146,97,94,90,1
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,جبل التاج,116,186,59,125,80,82,45,1
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الاخضر,139,248,60,124,71,124,58,0
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الحمرانية,2,1,1,3,1,0,0,0
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الذراع,73,115,32,88,54,80,31,3
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الهلال,57,80,23,51,26,39,51,1
