عدد السكان 2004 حسب الفئات العمرية والجنسية,,,,,,,,,,,,,,
محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,age,اردني,سوري,عراقي,فلسطيني,مصري,اخرى,المجموع
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,0-04,438,0,6,15,10,6,475
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,05-09,539,1,2,12,11,3,568
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,10-14,635,0,4,11,2,4,656
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,15-19,751,3,11,6,0,7,778
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,20-24,612,1,8,11,4,24,660
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,25-29,373,2,5,5,7,33,425
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,30-34,253,3,5,6,2,14,283
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,35-39,270,2,3,5,7,7,294
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,40-44,304,1,4,2,9,3,323
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,45-49,334,0,4,1,1,4,344
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,50-54,233,1,1,1,1,2,239
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,55-59,201,0,0,1,0,1,203
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,60-64,98,0,2,0,1,0,101
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,65+,91,1,1,2,0,0,95
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,110410142004,unspecified,0,0,0,0,0,3,3
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,0-04,451,0,10,8,3,4,476
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,05-09,610,1,6,10,2,2,631
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,10-14,870,1,7,11,1,4,894
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,15-19,1196,3,8,6,2,3,1218
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,20-24,1141,4,9,14,1,16,1185
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,25-29,586,2,7,6,1,21,623
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,30-34,338,1,4,1,2,10,356
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,35-39,280,2,3,2,1,6,294
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,40-44,429,1,6,6,1,0,443
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,45-49,541,2,6,1,1,3,554
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,50-54,491,0,0,3,0,1,495
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,55-59,377,1,3,3,0,0,384
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,60-64,190,0,2,1,0,0,193
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,65+,199,0,4,4,0,0,207
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,110410142003,unspecified,0,0,0,0,0,2,2
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,0-04,444,0,0,3,0,0,447
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,05-09,587,2,0,5,0,0,594
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,10-14,711,3,0,9,0,0,723
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,15-19,701,6,0,4,0,3,714
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,20-24,536,0,2,1,0,16,555
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,25-29,317,6,0,2,0,10,335
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,30-34,229,0,0,3,0,6,238
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,35-39,274,0,0,1,0,11,286
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,40-44,360,2,0,3,0,1,366
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,45-49,298,1,0,0,0,1,300
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,110410142002,50-54,196,1,0,0,0,0,197
