المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,CASEWHENNAT_CODE=401THEN'أردني'ELSE'غيرأردني'END,CASEWHENQ88=1THEN'ذكر'ELSE'انثى'END,وزارة الصحة,الخدمات الطبية الملكية,المستشفيات الجامعية,وكالة الغوث,تأمين خاص,خدمة صحية مجانية,خارج الأردن,أخرى
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,أردني,انثى,"1,077",291,89,4,965,180,12,48
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,أردني,ذكر,875,275,79,4,"1,042",218,55,54
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,غير أردني,انثى,0,0,32,51,875,0,263,145
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,غير أردني,ذكر,0,0,58,33,"1,264",0,176,181
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,أردني,انثى,"3,769",728,216,"1,799","1,836","1,458",27,141
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,أردني,ذكر,"3,385",646,227,"1,729","2,091","1,511",49,169
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,غير أردني,انثى,0,0,36,"1,022",611,0,121,521
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,غير أردني,ذكر,0,0,92,"1,113",826,0,103,545
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,أردني,انثى,"1,166",446,224,29,"2,702",287,48,124
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,أردني,ذكر,895,325,189,17,"2,666",271,114,118
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,غير أردني,انثى,0,0,57,11,"1,487",0,315,369
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,غير أردني,ذكر,0,0,79,9,"1,375",0,318,186
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,أردني,انثى,"1,250",339,163,26,"1,450",284,85,41
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,أردني,ذكر,"1,035",330,136,28,"1,534",278,163,30
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,غير أردني,انثى,0,0,42,47,482,0,142,112
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,غير أردني,ذكر,0,0,59,39,450,0,340,77
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,أردني,انثى,"2,731",563,37,128,544,990,3,71
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,أردني,ذكر,"2,561",542,47,140,697,"1,062",10,67
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,غير أردني,انثى,0,0,7,169,119,0,7,176
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,غير أردني,ذكر,0,0,29,227,388,0,84,244
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الزهور,أردني,انثى,"1,779",547,48,72,626,652,5,35
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الزهور,أردني,ذكر,"1,798",529,57,72,783,701,22,39
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الزهور,غير أردني,انثى,0,0,10,42,147,0,26,151
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الزهور,غير أردني,ذكر,0,0,8,49,272,0,27,225
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الروضة,أردني,انثى,"4,149",744,192,784,"1,702","1,822",28,150
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الروضة,أردني,ذكر,"4,006",762,201,736,"1,996","1,965",64,127
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الروضة,غير أردني,انثى,0,0,58,281,252,0,12,270
