المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,أعزب أو عزباء,متزوج او متزوجة,مطلق أو مطلقة ,ارمل او ارملة,منفصل او منفصلة,,,,,,
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,"7,628","8,512",402,634,58,,,,,,
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,"24,947","32,869",903,"2,624",122,,,,,,
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,"11,504","15,178",521,"1,209",101,,,,,,
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,"6,851","8,714",258,597,19,,,,,,
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,"14,009","17,224",492,"1,043",40,,,,,,
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الزهور,"9,258","12,293",221,530,21,,,,,,
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الروضة,"17,692","23,370",477,"1,002",44,,,,,,
العاصمة,قصبة عمان,عمان,المدينه,المدينة,القلعة,"1,452","1,827",28,116,1,,,,,,
العاصمة,قصبة عمان,عمان,المدينه,المدينة,وادي الحدادة,"3,530","4,473",135,229,16,,,,,,
العاصمة,قصبة عمان,عمان,المدينه,المدينة,جبل الجوفة,"1,697","1,907",47,97,9,,,,,,
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المدرج,976,750,13,42,3,,,,,,
العاصمة,قصبة عمان,عمان,المدينه,المدينة,وادي السرور,842,878,16,41,9,,,,,,
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المهاجرين,"1,362","1,222",57,80,9,,,,,,
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,769,910,64,37,2,,,,,,
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,758,"1,359",43,76,5,,,,,,
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,"10,866","11,515",427,917,56,,,,,,
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,"9,402","14,004",453,852,58,,,,,,
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,"4,835","7,849",267,649,52,,,,,,
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,"3,678","5,371",161,448,35,,,,,,
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,"5,479","6,870",214,313,32,,,,,,
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,"16,555","20,674",579,"1,398",94,,,,,,
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,"19,055","24,852",734,"1,670",114,,,,,,
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,"17,901","21,806",542,"1,512",77,,,,,,
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,"16,359","21,546",412,"1,220",42,,,,,,
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,"21,949","31,530",622,"1,878",78,,,,,,
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,"3,049","3,642",74,165,14,,,,,,
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,"12,527","17,482",386,847,31,,,,,,
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,"9,954","14,743",276,593,18,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,"18,322","22,505",566,"1,134",35,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,"6,684","8,735",177,415,11,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,"13,170","17,356",310,896,51,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,"5,372","7,449",127,338,14,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,"1,254","1,704",28,66,0,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,392,503,4,8,1,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,"1,443","2,145",37,74,5,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,"2,492","3,533",51,194,2,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,"2,719","3,886",63,126,9,,,,,,
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,287,376,11,17,2,,,,,,
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,"5,170","6,850",151,438,41,,,,,,
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,"20,362","27,295",737,"1,711",69,,,,,,
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,"12,213","16,264",462,"1,108",74,,,,,,
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,553,960,15,47,4,,,,,,
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,"4,003","5,828",124,222,3,,,,,,
العاصمة,ماركا,ماركا,النصر,النصر,الاميرالحسن,"15,271","21,580",517,"1,293",65,,,,,,
العاصمة,ماركا,ماركا,النصر,النصر,جبل النصر,"7,871","10,328",291,724,37,,,,,,
العاصمة,ماركا,ماركا,النصر,النصر,المنارة,"12,380","18,692",344,995,49,,,,,,
العاصمة,ماركا,ماركا,النصر,النصر,الربوة,"12,970","19,818",428,856,36,,,,,,
العاصمة,ماركا,ماركا,النصر,النصر,الاميرة عالية,"11,711","18,168",279,768,30,,,,,,
العاصمة,ماركا,ماركا,النصر,النصر,الصالحية,"3,128","4,411",103,294,9,,,,,,
العاصمة,ماركا,ماركا,النصر,النصر,المغيرات,"2,730","3,886",45,184,9,,,,,,
العاصمة,ماركا,ماركا,النصر,النصر,وادي القطار,"1,460","2,188",22,52,3,,,,,,
العاصمة,ماركا,ماركا,بسمان,بسمان,القصور,"10,447","13,725",295,797,24,,,,,,
العاصمة,ماركا,ماركا,بسمان,بسمان,جبل النزهة,"17,830","24,544",620,"1,590",79,,,,,,
العاصمة,ماركا,ماركا,بسمان,بسمان,الهاشمي الشمالي,"29,708","40,293",993,"2,689",102,,,,,,
العاصمة,ماركا,ماركا,بسمان,بسمان,الجرن,"23,744","28,935",703,"1,797",62,,,,,,
العاصمة,ماركا,ماركا,بسمان,بسمان,الرواق,"8,139","10,328",315,580,27,,,,,,
العاصمة,ماركا,ماركا,بسمان,بسمان,رغدان,"15,619","21,311",433,"1,187",85,,,,,,
