"NHcode","neighborhood","neighbor_1","areas","govcode","districts","subdistricts",shapelength,shapearea,area_code,"area_name","quarter_code","quarter_name",JO_male,JO_female,JO_pers,JO_fam,JO_HHsize,Other_male,Other_female,Other_pers,Other_fam,SYR_male,SYR_female,SYR_pers,SYR_fam,PAL_male,PAL_female,PAL_pers,PAL_fam,EYG_male,EYG_female,EYG_pers,EYG_fam,IRQ_male,IRQ_female,IRQ_pers,IRQ_fam,EMN_male,EMN_female,EMN_pers,EMN_fam,LYP_male,LYP_female,LYP_pers,LYP_fam,total_population
"110111130108","العدلية","Al- Adlyah","المدينة","العاصمة","قصبة عمان","عمان",3574.9,235220,1101111301,"المدينة","110111130108","العدلية",583,601,1184,311,0,70,70,140,41,416,420,836,203,70,35,105,17,511,204,715,105,47,44,91,26,6,0,6,4,0,0,0,0,3077
"110111140801","جبل عمان","Jabal Amman","زهران","العاصمة","قصبة عمان","عمان",8790.27,1758480,1101111408,"زهران","110111140801","جبل عمان",6606,6600,13206,3504,0,2463,3157,5620,1704,1767,1606,3373,749,553,497,1050,153,5176,1684,6860,1193,397,360,757,200,204,183,387,96,26,27,53,1,31306
"110111140802","عبدون الشمالي","A'bdoun Al- Shamali","زهران","العاصمة","قصبة عمان","عمان",10409.3,3924390,1101111408,"زهران","110111140802","عبدون الشمالي",7080,7418,14498,4024,0,2730,4887,7617,1582,660,661,1321,320,217,294,511,109,4027,721,4748,889,1009,958,1967,565,196,156,352,52,384,244,628,118,31642
"110111140803","الرضوان","Al- Radwan","زهران","العاصمة","قصبة عمان","عمان",8244.42,2832590,1101111408,"زهران","110111140803","الرضوان",3622,4041,7663,2361,0,1944,2987,4931,990,170,225,395,84,203,133,336,60,2127,233,2360,435,381,429,810,224,115,93,208,42,132,84,216,31,16919
"110111140804","ام اذينة الشرقي","Um Othyanah Al- Sharqi","زهران","العاصمة","قصبة عمان","عمان",4465.74,1171900,1101111408,"زهران","110111140804","ام اذينة الشرقي",2826,3122,5948,1834,0,1095,1363,2458,446,433,501,934,210,140,161,301,54,1339,161,1500,342,431,508,939,261,56,51,107,26,159,72,231,20,12418
"110111140805","عبدون الجنوبي","Abdoun Al-Janoubi","زهران","العاصمة","قصبة عمان","عمان",9655.62,4158180,1101111408,"زهران","110111140805","عبدون الجنوبي",2799,2758,5557,1415,0,1194,2865,4059,757,98,104,202,49,119,133,252,46,3541,176,3717,513,536,594,1130,271,105,60,165,42,84,78,162,49,15244
"110111150501","الاشرفية","Ashrafiyyeh","اليرموك","العاصمة","قصبة عمان","عمان",5336.82,1282980,1101111505,"اليرموك","110111150501","الاشرفية",15193,14743,29936,6877,0,710,893,1603,483,4125,3716,7841,1653,1827,1631,3458,568,7385,2662,10047,1673,513,425,938,246,138,115,253,64,0,0,0,0,54076
"110111150502","العودة","Al- Aodeh","اليرموك","العاصمة","قصبة عمان","عمان",6511.18,1994630,1101111505,"اليرموك","110111150502","العودة",18567,17442,36009,8069,0,87,165,252,75,2793,2414,5207,1070,10024,8232,18256,2737,5204,1595,6799,997,102,64,166,55,188,141,329,68,10,5,15,3,67033
"110111150503","جبل التاج","Jabal Al- Taaj","اليرموك","العاصمة","قصبة عمان","عمان",8006.31,1948200,1101111505,"اليرموك","110111150503","جبل التاج",20487,19782,40269,8808,0,354,468,822,253,3997,3944,7941,1605,3507,2541,6048,938,2953,1342,4295,636,127,105,232,68,39,12,51,6,0,6,6,5,59664
"110111110901","جبل اللويبدة","Jabal Alwaybdeh","العبدلي","العاصمة","قصبة عمان","عمان",9462.86,2234280,1101111109,"العبدلي","110111110901","جبل اللويبدة",4951,5142,10093,2780,0,1688,1916,3604,957,1446,1400,2846,650,441,441,882,175,2408,655,3063,494,323,349,672,199,111,90,201,39,30,18,48,15,21409
