"","GOV_CODE","GOV_NAME_AR","LUAA_CODE","LUAA_NAME_AR","DISTRICT_CODE","DISTRICT_NAME_AR","COLLECTION_CODE","COLLECTION_NAME_AR","AREA_CODE","AREA_NAME_AR","QUERTER_CODE","QUERTER_NAME_AR","MALE_JORD","FEMALE_JORD","PER_JORD","FAM_JORD","متوسط حجم الاسرة يحسب كما يلي","MALE_OTH","FEMALE_OTH","PER_OTH","FAM_OTH","MALE_SYR","FEMALE_SYR","PER_SYR","FAM_SYR","MALE_PLST","FEMALE_PLST","PER_PLST","FAM_PLST","MALE_EGPT","FEMALE_EGPT","PER_EGPT","FAM_EGPT","MALE_IRQ","FEMALE_IRQ","PER_IRQ","FAM_IRQ","MALE_EMN","FEMALE_EMN","PER_EMN","FAM_EMN","MALE_LYP","FEMALE_LYP","PER_LYP","FAM_LYP","TOT"
"1","11","العاصمة","1102","ماركا","11021","ماركا","11021112","النصر","1102111204","النصر","110211120406","الصالحية",4491,4355,8846,1828,"4.8391684901531731",25,62,87,21,617,822,1439,293,512,602,1114,166,479,178,657,99,6,18,24,8,0,0,0,0,0,0,0,0,12167
"2","11","العاصمة","1102","ماركا","11021","ماركا","11021111","ماركا","1102111103","ماركا","110211110301","المطار",6185,5981,12166,2660,"وهكذا حسب كل الجنسيات",94,103,197,64,1311,1269,2580,581,616,490,1106,195,408,107,515,70,356,352,708,171,136,3,139,30,234,0,234,68,17645
"3","11","العاصمة","1109","ناعور","11093","حسبان","11093013","المشقر","1109301301","المشقر","110930130101","المشقر",2627,2682,5309,1057,NA,0,4,4,0,60,52,112,21,7,0,7,0,77,21,98,22,0,0,0,0,0,0,0,0,0,0,0,0,5530
"4","11","العاصمة","1105","وادي السير","11051","وادي السير","11051011","وادي السير","1105101114","وادي السير","110510111413","الصنوبر",1916,1750,3666,794,NA,6,44,50,7,78,107,185,36,105,56,161,35,151,8,159,31,4,8,12,4,0,0,0,0,0,0,0,0,4233
"5","11","العاصمة","1105","وادي السير","11051","وادي السير","11051011","وادي السير","1105101114","وادي السير","110510111411","الكرسي",5035,5164,10199,2503,NA,199,1154,1353,324,332,355,687,157,168,182,350,68,1442,306,1748,316,99,98,197,41,6,6,12,2,18,24,42,10,14588
"6","11","العاصمة","1107","الجيزة","11072","ام الرصاص","11072011","ام الرصاص","1107201101","ام الرصاص","110720110101","ام الرصاص",330,309,639,126,NA,15,10,25,6,0,0,0,0,0,0,0,0,43,0,43,6,0,0,0,0,3,0,3,0,0,0,0,0,710
"7","11","العاصمة","1108","الموقر","11081","الموقر","11081011","الموقر","1108101101","الموقر","110810110101","الموقر",2535,2594,5129,962,NA,127,118,245,56,426,424,850,138,217,133,350,44,349,128,477,78,0,2,2,0,6,0,6,2,0,0,0,0,7059
"8","11","العاصمة","1107","الجيزة","11071","الجيزة","11071011","الجيزة","1107101101","الجيزة","110710110125","الناصرية",366,362,728,131,NA,0,2,2,1,34,23,57,7,0,0,0,0,42,0,42,4,0,0,0,0,0,0,0,0,0,0,0,0,829
"9","11","العاصمة","1103","القويسمة","11031","القويسمة","11031012","خريبة السوق وجاوا واليادودة","1103101212","خريبة السوق وجاوة","110310121202","الطيبة وخريبة السوق",23390,22251,45641,9601,NA,146,230,376,64,1478,1361,2839,630,7616,6888,14504,2166,6641,1621,8262,936,21,23,44,13,15,3,18,6,0,0,0,0,71684
"10","11","العاصمة","1108","الموقر","11081","الموقر","11081012","النقيرة","1108101201","النقيرة","110810120101","النقيرة",1498,1446,2944,598,NA,172,73,245,31,102,84,186,39,0,7,7,1,317,32,349,38,6,8,14,2,24,0,24,3,0,0,0,0,3769
