المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الرؤية,,السمع,,المشي,,التذكر أو التركيز,,العناية الشخصية,,التواصل,
,,,,,,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا
,,,,,,SEEING_3,SEEING_4,HEARING_3,HEARING_4,WALKING_3,WALKING_4,CON_3,CON_4,CARE_3,CARE_4,COMM_3,COMM_4
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,247,8,114,9,316,57,87,28,64,54,65,20
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,775,115,497,107,1292,309,549,156,438,233,350,203
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,177,21,95,21,268,78,108,24,113,62,130,57
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,109,15,68,12,223,50,91,24,64,51,65,44
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,388,62,220,43,598,147,207,75,216,118,135,70
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الزهور,134,18,68,25,264,83,97,45,74,47,47,53
العاصمة,قصبة عمان,عمان,راس العين,راس العين,الروضة,485,65,245,67,769,205,257,87,210,155,185,108
العاصمة,قصبة عمان,عمان,المدينه,المدينة,القلعة,19,4,17,2,44,10,25,6,17,8,12,6
العاصمة,قصبة عمان,عمان,المدينه,المدينة,وادي الحدادة,109,18,50,11,206,33,38,24,19,26,20,20
العاصمة,قصبة عمان,عمان,المدينه,المدينة,جبل الجوفة,56,7,20,8,69,10,18,12,11,10,10,16
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المدرج,14,0,8,0,26,3,5,5,4,7,0,4
العاصمة,قصبة عمان,عمان,المدينه,المدينة,وادي السرور,19,3,10,0,50,0,24,0,11,0,15,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المهاجرين,12,1,6,0,31,4,1,3,6,7,6,1
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,11,5,6,6,23,8,6,3,8,2,8,6
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,31,2,14,6,48,1,15,0,14,5,10,2
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,208,30,133,16,269,36,123,39,107,43,72,19
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,96,8,88,15,172,41,80,14,61,32,81,26
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,98,8,91,12,130,20,89,21,83,32,69,8
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,29,10,41,11,69,27,50,18,41,23,16,33
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,33,0,31,3,55,11,24,6,28,16,14,7
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,389,56,224,41,649,160,178,96,182,150,127,103
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,867,81,461,69,1044,175,517,113,371,147,306,108
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,410,36,267,71,592,185,270,91,237,111,169,122
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,576,59,289,64,928,155,266,81,214,151,212,97
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,491,77,284,53,752,175,329,86,259,164,213,87
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,80,6,91,19,135,21,122,18,116,33,93,21
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,254,40,151,40,406,125,211,67,173,90,156,72
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,179,30,139,31,254,68,110,40,66,59,88,46
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,338,55,202,63,485,138,208,65,151,111,125,71
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,102,24,64,15,178,51,65,31,66,53,68,28
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,244,18,145,17,382,63,151,39,122,50,127,43
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,90,14,44,22,162,31,61,31,47,43,37,33
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,23,0,9,2,34,6,17,4,9,3,11,5
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,2,2,2,0,5,3,1,0,1,6,0,3
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,63,3,26,2,69,10,28,5,29,4,32,7
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,64,3,36,14,91,23,40,11,27,19,15,22
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,44,3,20,2,52,9,23,11,21,6,20,6
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,1,0,0,1,0,0,2,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,139,14,67,28,224,52,87,33,58,70,70,45
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,598,93,268,70,708,177,262,102,218,155,222,166
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,327,36,163,31,490,83,141,66,143,91,137,56
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,13,1,3,1,12,6,3,2,11,2,4,2
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,95,23,63,25,117,43,57,22,50,35,33,40
العاصمة,ماركا,ماركا,النصر,النصر,الاميرالحسن,613,45,358,57,948,159,269,91,231,180,187,121
العاصمة,ماركا,ماركا,النصر,النصر,جبل النصر,277,51,166,36,479,85,182,62,128,108,124,42
العاصمة,ماركا,ماركا,النصر,النصر,المنارة,393,53,204,63,438,107,201,80,169,97,138,80
العاصمة,ماركا,ماركا,النصر,النصر,الربوة,309,34,157,45,634,116,191,67,157,115,136,87
العاصمة,ماركا,ماركا,النصر,النصر,الاميرة عالية,284,33,182,44,497,108,206,75,137,95,126,78
العاصمة,ماركا,ماركا,النصر,النصر,الصالحية,56,0,31,15,88,16,37,8,56,17,35,11
العاصمة,ماركا,ماركا,النصر,النصر,المغيرات,122,23,45,13,149,40,72,37,41,38,48,22
العاصمة,ماركا,ماركا,النصر,النصر,وادي القطار,21,1,14,5,39,6,18,5,21,4,13,7
العاصمة,ماركا,ماركا,بسمان,بسمان,القصور,290,50,144,51,400,74,119,41,138,84,91,72
العاصمة,ماركا,ماركا,بسمان,بسمان,جبل النزهة,599,80,264,98,834,232,273,150,240,215,187,165
العاصمة,ماركا,ماركا,بسمان,بسمان,الهاشمي الشمالي,820,71,524,122,1369,312,548,175,485,238,316,213
العاصمة,ماركا,ماركا,بسمان,بسمان,الجرن,458,73,233,98,803,236,193,157,202,213,151,134
العاصمة,ماركا,ماركا,بسمان,بسمان,الرواق,153,13,81,9,271,75,101,26,67,64,42,45
العاصمة,ماركا,ماركا,بسمان,بسمان,رغدان,467,52,247,61,697,137,248,73,194,117,187,82
العاصمة,ماركا,ماركا,بسمان,بسمان,الهاشمي الجنوبي,99,12,74,19,162,29,58,19,55,43,69,22
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,القويسمة,204,17,90,19,252,65,90,35,101,50,66,35
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو علندا,257,20,107,26,454,66,81,42,69,63,117,44
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,النهارية,296,27,212,42,480,139,230,70,154,113,181,89
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المعادي,158,21,77,31,270,94,95,58,88,106,60,61
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الجويدة,97,10,42,9,135,26,43,14,41,18,44,17
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حطين,127,8,75,14,176,49,64,29,58,57,60,29
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الرجيب,45,10,26,9,40,18,29,11,25,18,33,38
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,العروبة,68,18,37,5,88,24,34,14,39,31,41,27
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو صوانة,39,13,50,9,100,43,67,19,38,33,60,15
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الشرقي,38,5,0,0,15,16,13,0,7,2,0,2
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام نوارة,348,16,177,36,434,83,145,58,87,88,92,71
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام الحيران,92,19,48,14,178,37,74,19,57,34,48,22
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الغربي,0,0,0,0,0,1,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حي جديد,78,13,59,8,136,26,39,23,36,30,32,18
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,اليادودة,142,21,83,14,206,51,110,21,92,36,63,44
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الطيبة وخريبة السوق,486,53,318,101,852,161,363,112,299,170,295,228
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الايمان,45,5,22,7,84,36,24,28,41,27,15,43
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,غمدان,29,3,16,3,60,8,24,12,15,13,22,9
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الابرار,0,0,3,0,3,0,0,0,4,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الفرقان,1,3,4,0,15,0,2,0,3,0,3,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاندلس,213,18,91,13,293,43,89,20,83,36,69,27
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,التقوى,14,2,22,3,47,19,10,10,4,13,4,13
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاحسان,20,2,19,0,23,5,8,6,11,10,10,3
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الشمالي,104,8,67,12,237,27,57,29,49,41,41,30
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الجنوبي,161,21,65,18,236,57,71,38,70,59,48,46
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الوفاء,3,5,9,4,22,12,12,10,12,14,8,12
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,قباء,36,9,27,7,68,26,27,13,24,22,16,11
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الصفاء,1,0,1,0,1,0,1,0,1,0,1,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,المجد,10,0,0,0,9,0,1,0,0,0,1,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الامل,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الهداية,13,0,7,0,12,0,0,4,0,0,4,4
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الربيع,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,ام قصير,66,8,39,12,84,33,30,17,36,29,20,19
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,المقابلين,281,12,134,32,344,97,127,47,94,73,89,66
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحسنية,86,1,34,1,101,28,39,2,25,20,27,5
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الجنوبي,37,3,21,3,54,14,11,11,28,20,17,11
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الشمالي,13,5,14,7,20,12,11,9,15,9,19,9
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الصحابة,11,0,5,0,15,4,9,1,8,1,7,1
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الكرامة,6,0,6,0,8,2,10,0,1,1,2,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحرية,11,2,12,3,19,9,14,13,25,12,13,9
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الزيتونة,19,9,34,4,47,23,24,8,13,29,17,19
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,ابن عوف,35,1,14,3,31,9,19,4,11,7,10,10
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,البلدية,73,11,50,24,109,34,42,13,46,24,51,14
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,قطنة,147,23,97,31,162,71,77,30,63,44,62,37
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الرشيد,258,28,138,31,349,95,154,35,121,69,101,52
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الصديق,119,2,87,9,179,24,88,10,79,12,66,5
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الجامعة,81,10,73,7,189,38,54,7,49,27,44,17
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الكلية الإسلامية,68,6,31,3,72,18,54,5,39,22,22,15
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,المنصور,10,1,15,0,16,15,9,0,6,2,4,1
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الريان,85,10,66,16,135,48,49,16,59,38,57,22
العاصمة,الجامعة,الجامعة,صويلح,صويلح,ميسلون,57,7,32,4,73,9,36,1,22,8,17,23
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الرحمانية,64,3,23,4,110,20,36,12,28,21,44,7
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحي الشرقي,254,26,147,21,310,71,123,52,85,86,76,52
العاصمة,الجامعة,الجامعة,صويلح,صويلح,البشائر,113,4,38,5,165,29,47,7,94,22,36,26
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الكمالية,257,21,154,29,268,48,111,46,108,37,94,47
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الفضيلة,122,8,58,17,196,57,75,35,71,46,58,36
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحمر,1,0,1,0,1,0,2,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الفروسية,2,0,1,3,4,1,7,0,8,0,4,2
العاصمة,الجامعة,الجامعة,صويلح,صويلح,حدائق الحسين,3,0,3,0,6,0,3,0,3,0,2,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,دابوق,8,6,10,6,14,17,17,6,30,18,13,13
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,السلام,189,18,122,11,188,58,81,10,128,28,82,15
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,ام السماق,41,0,36,7,41,18,36,10,25,15,33,8
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الخالدين,93,14,43,6,104,32,43,15,41,25,34,26
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الصالحين,217,15,128,15,273,102,150,34,100,114,80,76
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشرقي,119,21,75,22,177,61,67,18,55,35,68,30
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشمالي,253,26,155,48,376,101,123,57,151,74,130,63
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,بركة,360,18,177,29,373,88,177,44,151,73,122,49
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,خلدا,38,4,24,1,95,24,39,5,36,34,31,22
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,السعاده,97,2,36,3,102,20,47,10,31,11,40,13
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,البساله,81,2,42,6,130,26,45,25,30,28,30,18
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,الامانه,144,18,43,14,187,46,73,37,70,62,46,30
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,المحبه,60,0,33,0,60,13,32,3,8,7,10,4
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,الفاروق,95,11,39,4,154,24,30,11,38,21,52,16
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,الضياء,7,2,9,0,18,3,8,3,10,4,7,1
