المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الجنسية,الجنس,LESS THAN 15,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80 ABOVE
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,أردني,أنثى,56,766,997,524,163,61,12,13,3,0,0,1,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,أردني,ذكر,1,70,411,780,507,185,60,28,6,5,1,1,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,غير أردني,أنثى,76,634,728,472,228,59,24,14,0,2,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل اللويبدة,غير أردني,ذكر,6,111,642,"1,063",619,154,78,37,8,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,أردني,أنثى,252,"4,454","4,027","1,410",359,147,65,28,6,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,أردني,ذكر,11,458,"3,031","3,188","1,506",379,126,45,20,3,3,4,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,غير أردني,أنثى,400,"3,659","2,663",877,225,86,11,19,4,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,جبل الحسين,غير أردني,ذكر,29,544,"3,279","3,183","1,396",427,145,20,29,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,أردني,أنثى,69,"1,152","1,937","1,127",275,97,38,23,2,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,أردني,ذكر,4,87,731,"1,669",964,297,79,47,6,8,2,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,غير أردني,أنثى,139,"1,187","1,589",910,245,75,30,10,10,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,الشميساني,غير أردني,ذكر,10,254,"1,072","1,618",840,290,76,25,9,3,0,3,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,أردني,أنثى,55,912,"1,290",624,110,18,11,0,2,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,أردني,ذكر,3,52,551,"1,182",541,136,45,13,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,غير أردني,أنثى,68,688,900,327,74,22,15,0,8,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,العبدلي,العبدلي,المدينة الرياضية,غير أردني,ذكر,0,59,554,850,375,78,19,6,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,أردني,أنثى,169,"2,398","2,102",500,160,60,29,7,2,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,أردني,ذكر,29,317,"1,859","1,669",583,138,41,20,5,3,3,1,0,0,0
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,غير أردني,أنثى,140,"1,477","1,114",280,98,38,8,15,7,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,راس العين,راس العين,النظيف,غير أردني,ذكر,30,480,"2,045","2,210",603,96,28,16,4,0,8,7,0,0,0
